instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,month_idn,weth_idn
5636,2011-08-27,3,0,8,17.0,0,6,0,3,0.64,0.5758,0.89,0.8358,2,14,16,Aug,Mendung
5637,2011-08-28,3,0,8,7.0,0,0,0,3,0.62,0.5758,0.83,0.3582,0,1,1,Aug,Mendung
5638,2011-08-28,3,0,8,8.0,0,0,0,3,0.62,0.5758,0.83,0.4179,2,6,8,Aug,Mendung
5639,2011-08-28,3,0,8,9.0,0,0,0,1,0.66,0.6212,0.74,0.4179,7,46,53,Aug,Cerah
5640,2011-08-28,3,0,8,10.0,0,0,0,1,0.7,0.6515,0.61,0.6119,27,115,142,Aug,Cerah
5641,2011-08-28,3,0,8,11.0,0,0,0,1,0.7,0.6515,0.58,0.3881,59,178,237,Aug,Cerah
5642,2011-08-28,3,0,8,12.0,0,0,0,1,0.74,0.6667,0.51,0.3881,88,218,306,Aug,Cerah
5643,2011-08-28,3,0,8,13.0,0,0,0,1,0.76,0.6818,0.45,0.3582,129,302,431,Aug,Cerah
5644,2011-08-28,3,0,8,14.0,0,0,0,1,0.78,0.697,0.43,0.4179,157,290,447,Aug,Cerah
5645,2011-08-28,3,0,8,15.0,0,0,0,1,0.78,0.697,0.43,0.3582,155,314,469,Aug,Cerah
5646,2011-08-28,3,0,8,16.0,0,0,0,1,0.8,0.7121,0.36,0.3881,196,295,491,Aug,Cerah
5647,2011-08-28,3,0,8,17.0,0,0,0,1,0.76,0.6818,0.4,0.2985,145,253,398,Aug,Cerah
5648,2011-08-28,3,0,8,18.0,0,0,0,1,0.74,0.6667,0.42,0.2239,145,257,402,Aug,Cerah
5649,2011-08-28,3,0,8,19.0,0,0,0,1,0.72,0.6667,0.48,0.1045,140,247,387,Aug,Cerah
5650,2011-08-28,3,0,8,20.0,0,0,0,1,0.72,0.6515,0.45,0.1045,64,150,214,Aug,Cerah
5651,2011-08-28,3,0,8,21.0,0,0,0,1,0.66,0.6212,0.61,0.1343,60,126,186,Aug,Cerah
5652,2011-08-28,3,0,8,22.0,0,0,0,1,0.64,0.6061,0.69,0.1045,25,73,98,Aug,Cerah
5653,2011-08-28,3,0,8,23.0,0,0,0,1,0.62,0.5909,0.73,0.1045,16,48,64,Aug,Cerah
5654,2011-08-29,3,0,8,0.0,0,1,1,1,0.62,0.5909,0.73,0.1045,13,21,34,Aug,Cerah
5655,2011-08-29,3,0,8,1.0,0,1,1,1,0.6,0.5909,0.69,0.1045,5,15,20,Aug,Cerah
5656,2011-08-29,3,0,8,2.0,0,1,1,1,0.6,0.5909,0.69,0.194,8,5,13,Aug,Cerah
5657,2011-08-29,3,0,8,3.0,0,1,1,1,0.6,0.5909,0.69,0.1045,1,5,6,Aug,Cerah
5658,2011-08-29,3,0,8,4.0,0,1,1,1,0.56,0.5303,0.68,0.1343,0,3,3,Aug,Cerah
5659,2011-08-29,3,0,8,5.0,0,1,1,1,0.56,0.5303,0.73,0.1343,0,17,17,Aug,Cerah
5660,2011-08-29,3,0,8,6.0,0,1,1,1,0.56,0.5303,0.73,0.1343,3,99,102,Aug,Cerah
5661,2011-08-29,3,0,8,7.0,0,1,1,1,0.6,0.6061,0.6,0.2239,11,273,284,Aug,Cerah
5662,2011-08-29,3,0,8,8.0,0,1,1,1,0.62,0.6212,0.57,0.2537,20,384,404,Aug,Cerah
5663,2011-08-29,3,0,8,9.0,0,1,1,1,0.62,0.6212,0.53,0.2537,22,166,188,Aug,Cerah
5664,2011-08-29,3,0,8,10.0,0,1,1,1,0.66,0.6212,0.47,0.2239,42,73,115,Aug,Cerah
5665,2011-08-29,3,0,8,11.0,0,1,1,1,0.66,0.6212,0.47,0.1642,38,100,138,Aug,Cerah
5666,2011-08-29,3,0,8,12.0,0,1,1,2,0.68,0.6364,0.44,0.1642,48,159,207,Aug,Cerah Berawan
5667,2011-08-29,3,0,8,13.0,0,1,1,2,0.7,0.6364,0.39,0.0,48,170,218,Aug,Cerah Berawan
5668,2011-08-29,3,0,8,14.0,0,1,1,1,0.7,0.6364,0.42,0.0,55,127,182,Aug,Cerah
5669,2011-08-29,3,0,8,15.0,0,1,1,1,0.7,0.6364,0.42,0.1642,56,164,220,Aug,Cerah
5670,2011-08-29,3,0,8,16.0,0,1,1,1,0.72,0.6515,0.42,0.1642,56,226,282,Aug,Cerah
5671,2011-08-29,3,0,8,17.0,0,1,1,2,0.7,0.6364,0.47,0.2239,67,524,591,Aug,Cerah Berawan
5672,2011-08-29,3,0,8,18.0,0,1,1,1,0.66,0.6212,0.47,0.2537,60,487,547,Aug,Cerah
5673,2011-08-29,3,0,8,19.0,0,1,1,1,0.66,0.6212,0.47,0.2537,50,317,367,Aug,Cerah
5674,2011-08-29,3,0,8,20.0,0,1,1,1,0.64,0.6212,0.53,0.1642,50,227,277,Aug,Cerah
5675,2011-08-29,3,0,8,21.0,0,1,1,1,0.64,0.6212,0.53,0.194,34,168,202,Aug,Cerah
5676,2011-08-29,3,0,8,22.0,0,1,1,1,0.62,0.6212,0.57,0.1343,23,119,142,Aug,Cerah
5677,2011-08-29,3,0,8,23.0,0,1,1,1,0.6,0.6061,0.6,0.0896,19,56,75,Aug,Cerah
5678,2011-08-30,3,0,8,0.0,0,2,1,1,0.56,0.5303,0.73,0.1343,10,17,27,Aug,Cerah
5679,2011-08-30,3,0,8,1.0,0,2,1,1,0.56,0.5303,0.68,0.1045,6,7,13,Aug,Cerah
5680,2011-08-30,3,0,8,2.0,0,2,1,1,0.54,0.5152,0.73,0.1045,2,8,10,Aug,Cerah
5681,2011-08-30,3,0,8,3.0,0,2,1,1,0.54,0.5152,0.73,0.194,2,2,4,Aug,Cerah
5682,2011-08-30,3,0,8,4.0,0,2,1,1,0.52,0.5,0.77,0.1642,0,6,6,Aug,Cerah
5683,2011-08-30,3,0,8,5.0,0,2,1,1,0.52,0.5,0.77,0.0896,1,27,28,Aug,Cerah
5684,2011-08-30,3,0,8,6.0,0,2,1,1,0.54,0.5152,0.73,0.1045,4,115,119,Aug,Cerah
5685,2011-08-30,3,0,8,7.0,0,2,1,1,0.56,0.5303,0.68,0.1343,19,338,357,Aug,Cerah
5686,2011-08-30,3,0,8,8.0,0,2,1,1,0.62,0.6212,0.57,0.1343,34,459,493,Aug,Cerah
5687,2011-08-30,3,0,8,9.0,0,2,1,1,0.66,0.6212,0.5,0.2239,38,180,218,Aug,Cerah
5688,2011-08-30,3,0,8,10.0,0,2,1,1,0.7,0.6364,0.39,0.2239,28,109,137,Aug,Cerah
5689,2011-08-30,3,0,8,11.0,0,2,1,1,0.72,0.6515,0.37,0.194,60,115,175,Aug,Cerah
5690,2011-08-30,3,0,8,12.0,0,2,1,1,0.72,0.6515,0.37,0.0,65,172,237,Aug,Cerah
5691,2011-08-30,3,0,8,13.0,0,2,1,1,0.74,0.6515,0.35,0.1045,59,170,229,Aug,Cerah
5692,2011-08-30,3,0,8,14.0,0,2,1,1,0.74,0.6515,0.33,0.1642,58,151,209,Aug,Cerah
5693,2011-08-30,3,0,8,15.0,0,2,1,1,0.74,0.6515,0.35,0.2239,34,162,196,Aug,Cerah
5694,2011-08-30,3,0,8,16.0,0,2,1,1,0.74,0.6515,0.37,0.1642,42,295,337,Aug,Cerah
5695,2011-08-30,3,0,8,17.0,0,2,1,1,0.72,0.6515,0.42,0.194,62,549,611,Aug,Cerah
5696,2011-08-30,3,0,8,18.0,0,2,1,1,0.7,0.6364,0.45,0.1642,60,516,576,Aug,Cerah
5697,2011-08-30,3,0,8,19.0,0,2,1,1,0.66,0.6212,0.5,0.0896,68,397,465,Aug,Cerah
5698,2011-08-30,3,0,8,20.0,0,2,1,1,0.66,0.6212,0.5,0.0,39,259,298,Aug,Cerah
5699,2011-08-30,3,0,8,21.0,0,2,1,1,0.64,0.6061,0.65,0.0896,43,180,223,Aug,Cerah
5700,2011-08-30,3,0,8,22.0,0,2,1,1,0.62,0.6061,0.61,0.0,22,121,143,Aug,Cerah
5701,2011-08-30,3,0,8,23.0,0,2,1,1,0.62,0.6061,0.61,0.0,19,74,93,Aug,Cerah
5702,2011-08-31,3,0,8,0.0,0,3,1,1,0.6,0.5909,0.69,0.0,8,24,32,Aug,Cerah
5703,2011-08-31,3,0,8,1.0,0,3,1,1,0.6,0.5909,0.69,0.0,2,13,15,Aug,Cerah
5704,2011-08-31,3,0,8,2.0,0,3,1,1,0.56,0.5303,0.73,0.0,1,5,6,Aug,Cerah
5705,2011-08-31,3,0,8,3.0,0,3,1,1,0.56,0.5303,0.78,0.0,2,4,6,Aug,Cerah
5706,2011-08-31,3,0,8,4.0,0,3,1,1,0.56,0.5303,0.73,0.0,0,5,5,Aug,Cerah
5707,2011-08-31,3,0,8,5.0,0,3,1,1,0.54,0.5152,0.83,0.0896,2,25,27,Aug,Cerah
5708,2011-08-31,3,0,8,6.0,0,3,1,1,0.54,0.5152,0.77,0.0,4,107,111,Aug,Cerah
5709,2011-08-31,3,0,8,7.0,0,3,1,1,0.6,0.5758,0.78,0.0,12,316,328,Aug,Cerah
5710,2011-08-31,3,0,8,8.0,0,3,1,1,0.62,0.6061,0.69,0.0,27,440,467,Aug,Cerah
5711,2011-08-31,3,0,8,9.0,0,3,1,1,0.64,0.6061,0.69,0.0896,27,217,244,Aug,Cerah
5712,2011-08-31,3,0,8,10.0,0,3,1,1,0.7,0.6364,0.45,0.1045,33,105,138,Aug,Cerah
5713,2011-08-31,3,0,8,11.0,0,3,1,1,0.72,0.6515,0.42,0.1343,28,143,171,Aug,Cerah
5714,2011-08-31,3,0,8,12.0,0,3,1,1,0.74,0.6667,0.43,0.1343,68,192,260,Aug,Cerah
5715,2011-08-31,3,0,8,13.0,0,3,1,1,0.74,0.6515,0.37,0.1045,39,182,221,Aug,Cerah
5716,2011-08-31,3,0,8,14.0,0,3,1,1,0.74,0.6515,0.4,0.1343,48,148,196,Aug,Cerah
5717,2011-08-31,3,0,8,15.0,0,3,1,1,0.74,0.6515,0.4,0.1343,34,138,172,Aug,Cerah
5718,2011-08-31,3,0,8,16.0,0,3,1,1,0.74,0.6667,0.42,0.1343,46,263,309,Aug,Cerah
5719,2011-08-31,3,0,8,17.0,0,3,1,1,0.72,0.6515,0.45,0.1343,83,525,608,Aug,Cerah
5720,2011-08-31,3,0,8,18.0,0,3,1,1,0.7,0.6515,0.51,0.2239,70,495,565,Aug,Cerah
5721,2011-08-31,3,0,8,19.0,0,3,1,1,0.84,0.7727,0.47,0.2537,53,393,446,Aug,Cerah
5722,2011-08-31,3,0,8,20.0,0,3,1,1,0.66,0.6212,0.57,0.1343,30,259,289,Aug,Cerah
5723,2011-08-31,3,0,8,21.0,0,3,1,1,0.66,0.6212,0.61,0.0896,27,174,201,Aug,Cerah
5724,2011-08-31,3,0,8,22.0,0,3,1,1,0.64,0.6061,0.69,0.0,20,137,157,Aug,Cerah
5725,2011-08-31,3,0,8,23.0,0,3,1,1,0.6,0.5758,0.78,0.1045,24,60,84,Aug,Cerah
5726,2011-09-01,3,0,9,0.0,0,4,1,1,0.6,0.5758,0.78,0.1045,18,33,51,Sep,Cerah
5727,2011-09-01,3,0,9,1.0,0,4,1,1,0.6,0.5909,0.73,0.0896,7,14,21,Sep,Cerah
5728,2011-09-01,3,0,9,2.0,0,4,1,1,0.58,0.5455,0.78,0.0896,14,11,25,Sep,Cerah
5729,2011-09-01,3,0,9,3.0,0,4,1,1,0.58,0.5455,0.78,0.0896,7,7,14,Sep,Cerah
5730,2011-09-01,3,0,9,4.0,0,4,1,1,0.56,0.5303,0.83,0.0896,0,7,7,Sep,Cerah
5731,2011-09-01,3,0,9,5.0,0,4,1,1,0.56,0.5303,0.73,0.0896,1,22,23,Sep,Cerah
5732,2011-09-01,3,0,9,6.0,0,4,1,1,0.6,0.5758,0.78,0.0,2,103,105,Sep,Cerah
5733,2011-09-01,3,0,9,7.0,0,4,1,1,0.6,0.5758,0.78,0.0,7,335,342,Sep,Cerah
5734,2011-09-01,3,0,9,8.0,0,4,1,1,0.62,0.5909,0.73,0.1343,31,467,498,Sep,Cerah
5735,2011-09-01,3,0,9,9.0,0,4,1,1,0.64,0.6061,0.69,0.1045,29,178,207,Sep,Cerah
5736,2011-09-01,3,0,9,10.0,0,4,1,1,0.68,0.6364,0.61,0.1343,46,92,138,Sep,Cerah
5737,2011-09-01,3,0,9,11.0,0,4,1,1,0.72,0.6667,0.51,0.1343,51,141,192,Sep,Cerah
5738,2011-09-01,3,0,9,12.0,0,4,1,2,0.72,0.6667,0.51,0.1343,64,165,229,Sep,Cerah Berawan
5739,2011-09-01,3,0,9,13.0,0,4,1,2,0.72,0.6667,0.48,0.0896,50,169,219,Sep,Cerah Berawan
5740,2011-09-01,3,0,9,14.0,0,4,1,3,0.72,0.6667,0.54,0.2537,54,144,198,Sep,Mendung
5741,2011-09-01,3,0,9,15.0,0,4,1,1,0.72,0.6667,0.51,0.1343,39,135,174,Sep,Cerah
5742,2011-09-01,3,0,9,16.0,0,4,1,1,0.74,0.6667,0.51,0.194,55,253,308,Sep,Cerah
5743,2011-09-01,3,0,9,17.0,0,4,1,1,0.72,0.6667,0.54,0.2537,61,567,628,Sep,Cerah
5744,2011-09-01,3,0,9,18.0,0,4,1,1,0.72,0.6667,0.54,0.2239,69,462,531,Sep,Cerah
5745,2011-09-01,3,0,9,19.0,0,4,1,1,0.7,0.6515,0.58,0.1642,79,364,443,Sep,Cerah
5746,2011-09-01,3,0,9,20.0,0,4,1,1,0.66,0.6212,0.61,0.2239,33,247,280,Sep,Cerah
5747,2011-09-01,3,0,9,21.0,0,4,1,2,0.66,0.6212,0.57,0.194,17,160,177,Sep,Cerah Berawan
5748,2011-09-01,3,0,9,22.0,0,4,1,2,0.66,0.6212,0.57,0.2239,34,145,179,Sep,Cerah Berawan
5749,2011-09-01,3,0,9,23.0,0,4,1,1,0.64,0.6061,0.65,0.2537,15,111,126,Sep,Cerah
5750,2011-09-02,3,0,9,0.0,0,5,1,1,0.64,0.6061,0.65,0.194,6,58,64,Sep,Cerah
5751,2011-09-02,3,0,9,1.0,0,5,1,3,0.62,0.5909,0.73,0.1045,4,28,32,Sep,Mendung
5752,2011-09-02,3,0,9,2.0,0,5,1,3,0.62,0.5909,0.73,0.1045,9,11,20,Sep,Mendung
5753,2011-09-02,3,0,9,3.0,0,5,1,2,0.6,0.5606,0.83,0.1642,4,4,8,Sep,Cerah Berawan
5754,2011-09-02,3,0,9,4.0,0,5,1,1,0.6,0.5606,0.83,0.0896,2,2,4,Sep,Cerah
5755,2011-09-02,3,0,9,5.0,0,5,1,2,0.6,0.5606,0.83,0.1343,0,20,20,Sep,Cerah Berawan
5756,2011-09-02,3,0,9,6.0,0,5,1,1,0.6,0.5606,0.83,0.1343,3,73,76,Sep,Cerah
5757,2011-09-02,3,0,9,7.0,0,5,1,1,0.6,0.5606,0.83,0.1045,6,253,259,Sep,Cerah
5758,2011-09-02,3,0,9,8.0,0,5,1,1,0.62,0.5909,0.78,0.194,22,434,456,Sep,Cerah
5759,2011-09-02,3,0,9,9.0,0,5,1,2,0.62,0.5758,0.83,0.1045,30,190,220,Sep,Cerah Berawan
5760,2011-09-02,3,0,9,10.0,0,5,1,2,0.64,0.6061,0.76,0.1642,34,106,140,Sep,Cerah Berawan
5761,2011-09-02,3,0,9,11.0,0,5,1,2,0.66,0.6212,0.74,0.1045,51,141,192,Sep,Cerah Berawan
5762,2011-09-02,3,0,9,12.0,0,5,1,2,0.66,0.6212,0.69,0.2239,82,178,260,Sep,Cerah Berawan
5763,2011-09-02,3,0,9,13.0,0,5,1,2,0.68,0.6364,0.65,0.1343,72,207,279,Sep,Cerah Berawan
5764,2011-09-02,3,0,9,14.0,0,5,1,2,0.7,0.6515,0.61,0.1045,75,208,283,Sep,Cerah Berawan
5765,2011-09-02,3,0,9,15.0,0,5,1,2,0.7,0.6515,0.61,0.2537,69,277,346,Sep,Cerah Berawan
5766,2011-09-02,3,0,9,16.0,0,5,1,2,0.7,0.6515,0.61,0.1343,82,299,381,Sep,Cerah Berawan
5767,2011-09-02,3,0,9,17.0,0,5,1,2,0.68,0.6364,0.65,0.1642,78,377,455,Sep,Cerah Berawan
5768,2011-09-02,3,0,9,18.0,0,5,1,2,0.68,0.6364,0.65,0.194,50,305,355,Sep,Cerah Berawan
5769,2011-09-02,3,0,9,19.0,0,5,1,1,0.66,0.6212,0.69,0.1343,67,220,287,Sep,Cerah
5770,2011-09-02,3,0,9,20.0,0,5,1,1,0.64,0.6061,0.73,0.0,38,158,196,Sep,Cerah
5771,2011-09-02,3,0,9,21.0,0,5,1,2,0.64,0.6061,0.73,0.0896,28,121,149,Sep,Cerah Berawan
5772,2011-09-02,3,0,9,22.0,0,5,1,2,0.64,0.6061,0.73,0.1642,33,114,147,Sep,Cerah Berawan
5773,2011-09-02,3,0,9,23.0,0,5,1,2,0.64,0.6061,0.73,0.1642,30,68,98,Sep,Cerah Berawan
5774,2011-09-03,3,0,9,0.0,0,6,0,2,0.64,0.6061,0.73,0.1045,22,65,87,Sep,Cerah Berawan
5775,2011-09-03,3,0,9,1.0,0,6,0,2,0.64,0.6061,0.69,0.2537,17,57,74,Sep,Cerah Berawan
5776,2011-09-03,3,0,9,2.0,0,6,0,2,0.64,0.6061,0.69,0.2239,15,26,41,Sep,Cerah Berawan
5777,2011-09-03,3,0,9,3.0,0,6,0,1,0.62,0.5909,0.73,0.1642,17,18,35,Sep,Cerah
5778,2011-09-03,3,0,9,4.0,0,6,0,1,0.62,0.5909,0.73,0.1642,3,4,7,Sep,Cerah
5779,2011-09-03,3,0,9,5.0,0,6,0,1,0.62,0.6061,0.69,0.194,3,9,12,Sep,Cerah
5780,2011-09-03,3,0,9,6.0,0,6,0,1,0.62,0.5909,0.73,0.1642,4,19,23,Sep,Cerah
5781,2011-09-03,3,0,9,7.0,0,6,0,1,0.62,0.5909,0.73,0.194,5,33,38,Sep,Cerah
5782,2011-09-03,3,0,9,8.0,0,6,0,1,0.64,0.6061,0.69,0.1642,24,65,89,Sep,Cerah
5783,2011-09-03,3,0,9,9.0,0,6,0,2,0.66,0.6212,0.69,0.2537,83,118,201,Sep,Cerah Berawan
5784,2011-09-03,3,0,9,10.0,0,6,0,3,0.66,0.6212,0.65,0.2537,90,168,258,Sep,Mendung
5785,2011-09-03,3,0,9,11.0,0,6,0,3,0.66,0.6212,0.69,0.2836,66,128,194,Sep,Mendung
5786,2011-09-03,3,0,9,12.0,0,6,0,1,0.7,0.6515,0.61,0.2239,97,160,257,Sep,Cerah
5787,2011-09-03,3,0,9,13.0,0,6,0,1,0.7,0.6515,0.65,0.2239,153,200,353,Sep,Cerah
5788,2011-09-03,3,0,9,14.0,0,6,0,2,0.72,0.6818,0.66,0.1642,204,176,380,Sep,Cerah Berawan
5789,2011-09-03,3,0,9,15.0,0,6,0,1,0.72,0.6818,0.7,0.1642,187,201,388,Sep,Cerah
5790,2011-09-03,3,0,9,16.0,0,6,0,1,0.72,0.6818,0.7,0.194,186,188,374,Sep,Cerah
5791,2011-09-03,3,0,9,17.0,0,6,0,1,0.72,0.6818,0.7,0.2239,170,201,371,Sep,Cerah
5792,2011-09-03,3,0,9,18.0,0,6,0,1,0.72,0.6818,0.7,0.1642,160,179,339,Sep,Cerah
5793,2011-09-03,3,0,9,19.0,0,6,0,1,0.7,0.6667,0.74,0.1343,147,148,295,Sep,Cerah
5794,2011-09-03,3,0,9,20.0,0,6,0,1,0.7,0.6667,0.79,0.1642,99,120,219,Sep,Cerah
5795,2011-09-03,3,0,9,21.0,0,6,0,1,0.68,0.6364,0.83,0.1343,71,93,164,Sep,Cerah
5796,2011-09-03,3,0,9,22.0,0,6,0,1,0.68,0.6364,0.83,0.1045,66,96,162,Sep,Cerah
5797,2011-09-03,3,0,9,23.0,0,6,0,1,0.66,0.6212,0.85,0.1343,46,77,123,Sep,Cerah
5798,2011-09-04,3,0,9,0.0,0,0,0,1,0.66,0.5909,0.89,0.194,33,76,109,Sep,Cerah
5799,2011-09-04,3,0,9,1.0,0,0,0,1,0.66,0.6061,0.83,0.1343,37,38,75,Sep,Cerah
5800,2011-09-04,3,0,9,2.0,0,0,0,1,0.66,0.6061,0.83,0.194,17,43,60,Sep,Cerah
5801,2011-09-04,3,0,9,3.0,0,0,0,1,0.64,0.5758,0.89,0.194,20,23,43,Sep,Cerah
5802,2011-09-04,3,0,9,4.0,0,0,0,1,0.64,0.5758,0.83,0.1642,0,4,4,Sep,Cerah
5803,2011-09-04,3,0,9,5.0,0,0,0,1,0.64,0.5758,0.83,0.1343,1,5,6,Sep,Cerah
5804,2011-09-04,3,0,9,6.0,0,0,0,1,0.64,0.5758,0.84,0.2239,0,3,3,Sep,Cerah
5805,2011-09-04,3,0,9,7.0,0,0,0,1,0.66,0.6061,0.78,0.194,10,20,30,Sep,Cerah
5806,2011-09-04,3,0,9,8.0,0,0,0,1,0.66,0.6061,0.78,0.1642,21,49,70,Sep,Cerah
5807,2011-09-04,3,0,9,9.0,0,0,0,1,0.66,0.6061,0.78,0.1642,87,102,189,Sep,Cerah
5808,2011-09-04,3,0,9,10.0,0,0,0,1,0.7,0.6667,0.74,0.1343,150,147,297,Sep,Cerah
5809,2011-09-04,3,0,9,11.0,0,0,0,1,0.74,0.697,0.7,0.1642,174,163,337,Sep,Cerah
5810,2011-09-04,3,0,9,12.0,0,0,0,1,0.76,0.7273,0.66,0.1642,214,221,435,Sep,Cerah
5811,2011-09-04,3,0,9,13.0,0,0,0,2,0.78,0.7424,0.62,0.2836,245,174,419,Sep,Cerah Berawan
5812,2011-09-04,3,0,9,14.0,0,0,0,1,0.78,0.7576,0.66,0.3284,205,156,361,Sep,Cerah
5813,2011-09-04,3,0,9,15.0,0,0,0,1,0.78,0.7576,0.66,0.2836,218,192,410,Sep,Cerah
5814,2011-09-04,3,0,9,16.0,0,0,0,1,0.8,0.7727,0.59,0.2239,196,141,337,Sep,Cerah
5815,2011-09-04,3,0,9,17.0,0,0,0,1,0.76,0.7273,0.66,0.2239,204,172,376,Sep,Cerah
5816,2011-09-04,3,0,9,18.0,0,0,0,1,0.76,0.7273,0.66,0.194,187,169,356,Sep,Cerah
5817,2011-09-04,3,0,9,19.0,0,0,0,1,0.74,0.697,0.7,0.194,178,150,328,Sep,Cerah
5818,2011-09-04,3,0,9,20.0,0,0,0,1,0.74,0.697,0.7,0.2985,104,125,229,Sep,Cerah
5819,2011-09-04,3,0,9,21.0,0,0,0,1,0.72,0.697,0.74,0.2537,104,103,207,Sep,Cerah
5820,2011-09-04,3,0,9,22.0,0,0,0,2,0.72,0.697,0.74,0.2836,70,85,155,Sep,Cerah Berawan
5821,2011-09-04,3,0,9,23.0,0,0,0,2,0.72,0.6818,0.7,0.1642,46,58,104,Sep,Cerah Berawan
5822,2011-09-05,3,0,9,0.0,1,1,0,2,0.7,0.6667,0.74,0.2239,31,66,97,Sep,Cerah Berawan
5823,2011-09-05,3,0,9,1.0,1,1,0,2,0.68,0.6364,0.79,0.1045,19,35,54,Sep,Cerah Berawan
5824,2011-09-05,3,0,9,2.0,1,1,0,2,0.68,0.6364,0.79,0.1642,17,22,39,Sep,Cerah Berawan
5825,2011-09-05,3,0,9,3.0,1,1,0,2,0.68,0.6364,0.74,0.2985,4,12,16,Sep,Cerah Berawan
5826,2011-09-05,3,0,9,4.0,1,1,0,2,0.68,0.6364,0.69,0.2836,3,5,8,Sep,Cerah Berawan
5827,2011-09-05,3,0,9,5.0,1,1,0,2,0.66,0.6212,0.74,0.1642,2,4,6,Sep,Cerah Berawan
5828,2011-09-05,3,0,9,6.0,1,1,0,2,0.66,0.6212,0.74,0.1343,6,5,11,Sep,Cerah Berawan
5829,2011-09-05,3,0,9,7.0,1,1,0,1,0.66,0.6212,0.74,0.1642,11,30,41,Sep,Cerah
5830,2011-09-05,3,0,9,8.0,1,1,0,2,0.66,0.6061,0.78,0.194,45,56,101,Sep,Cerah Berawan
5831,2011-09-05,3,0,9,9.0,1,1,0,3,0.68,0.6364,0.74,0.1642,63,89,152,Sep,Mendung
5832,2011-09-05,3,0,9,10.0,1,1,0,2,0.7,0.6515,0.7,0.1642,107,137,244,Sep,Cerah Berawan
5833,2011-09-05,3,0,9,11.0,1,1,0,2,0.7,0.6667,0.74,0.1642,101,207,308,Sep,Cerah Berawan
5834,2011-09-05,3,0,9,12.0,1,1,0,2,0.72,0.6818,0.7,0.194,141,212,353,Sep,Cerah Berawan
5835,2011-09-05,3,0,9,13.0,1,1,0,2,0.74,0.697,0.7,0.1343,154,235,389,Sep,Cerah Berawan
5836,2011-09-05,3,0,9,14.0,1,1,0,1,0.74,0.697,0.7,0.1642,145,212,357,Sep,Cerah
5837,2011-09-05,3,0,9,15.0,1,1,0,2,0.68,0.6364,0.79,0.2836,111,142,253,Sep,Cerah Berawan
5838,2011-09-05,3,0,9,16.0,1,1,0,2,0.68,0.6364,0.79,0.2836,92,192,284,Sep,Cerah Berawan
5839,2011-09-05,3,0,9,17.0,1,1,0,2,0.66,0.5909,0.89,0.1045,37,77,114,Sep,Cerah Berawan
5840,2011-09-05,3,0,9,18.0,1,1,0,1,0.66,0.5909,0.89,0.0896,31,92,123,Sep,Cerah
5841,2011-09-05,3,0,9,19.0,1,1,0,3,0.66,0.5909,0.94,0.1045,52,123,175,Sep,Mendung
5842,2011-09-05,3,0,9,20.0,1,1,0,3,0.66,0.5909,0.94,0.2537,26,56,82,Sep,Mendung
5843,2011-09-05,3,0,9,21.0,1,1,0,2,0.66,0.5909,0.94,0.2985,20,40,60,Sep,Cerah Berawan
5844,2011-09-05,3,0,9,22.0,1,1,0,2,0.6,0.5455,0.88,0.5821,15,49,64,Sep,Cerah Berawan
5845,2011-09-05,3,0,9,23.0,1,1,0,3,0.56,0.5303,0.88,0.3881,3,17,20,Sep,Mendung
5846,2011-09-06,3,0,9,0.0,0,2,1,3,0.54,0.5152,0.94,0.3582,1,7,8,Sep,Mendung
5847,2011-09-06,3,0,9,2.0,0,2,1,3,0.54,0.5152,0.94,0.2537,0,2,2,Sep,Mendung
5848,2011-09-06,3,0,9,3.0,0,2,1,3,0.54,0.5152,0.94,0.2985,1,0,1,Sep,Mendung
5849,2011-09-06,3,0,9,4.0,0,2,1,2,0.54,0.5152,0.94,0.2985,1,3,4,Sep,Cerah Berawan
5850,2011-09-06,3,0,9,5.0,0,2,1,3,0.54,0.5152,0.88,0.3582,1,20,21,Sep,Mendung
5851,2011-09-06,3,0,9,6.0,0,2,1,2,0.54,0.5152,0.88,0.3284,0,72,72,Sep,Cerah Berawan
5852,2011-09-06,3,0,9,7.0,0,2,1,2,0.54,0.5152,0.83,0.3582,6,166,172,Sep,Cerah Berawan
5853,2011-09-06,3,0,9,8.0,0,2,1,3,0.54,0.5152,0.83,0.3881,15,349,364,Sep,Mendung
5854,2011-09-06,3,0,9,9.0,0,2,1,2,0.54,0.5152,0.81,0.4179,18,167,185,Sep,Cerah Berawan
5855,2011-09-06,3,0,9,10.0,0,2,1,3,0.54,0.5152,0.83,0.3582,16,90,106,Sep,Mendung
5856,2011-09-06,3,0,9,11.0,0,2,1,3,0.54,0.5152,0.83,0.3881,11,78,89,Sep,Mendung
5857,2011-09-06,3,0,9,12.0,0,2,1,3,0.54,0.5152,0.83,0.3881,16,51,67,Sep,Mendung
5858,2011-09-06,3,0,9,13.0,0,2,1,3,0.54,0.5152,0.88,0.2985,5,24,29,Sep,Mendung
5859,2011-09-06,3,0,9,14.0,0,2,1,3,0.54,0.5152,0.88,0.2836,3,21,24,Sep,Mendung
5860,2011-09-06,3,0,9,15.0,0,2,1,3,0.54,0.5152,0.94,0.3881,18,71,89,Sep,Mendung
